epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2218.51,1.37255,1.00121,1.20653,0.84276,0.73062,0.79108,0.4468,1.41562,0.76,1.10513,0.000476149,0.000476149,0.000476149
2,4213.18,1.36441,1.0349,1.19721,0.8467,0.70901,0.77449,0.44374,1.42791,0.81906,1.11133,0.000889618,0.000889618,0.000889618
3,6236.64,1.37966,1.05973,1.20712,0.82745,0.72506,0.78006,0.47152,1.30461,0.78947,1.08947,0.00124021,0.00124021,0.00124021
4,8164.04,1.37763,1.06932,1.21008,0.8322,0.70299,0.77022,0.45839,1.32063,0.81535,1.10324,0.00114606,0.00114606,0.00114606
5,10096,1.37341,1.06249,1.20939,0.853,0.7032,0.77897,0.45259,1.36299,0.80142,1.12205,0.00105174,0.00105174,0.00105174
6,12208.4,1.20857,0.82,1.12659,0.84833,0.70431,0.77022,0.44099,1.43702,0.80868,1.12479,0.00095743,0.00095743,0.00095743
7,14115.8,1.20151,0.78856,1.12179,0.86421,0.71237,0.782,0.46246,1.35289,0.78621,1.10465,0.000863116,0.000863116,0.000863116
8,16005,1.18923,0.77247,1.11336,0.84046,0.71052,0.77801,0.45443,1.37592,0.78471,1.11164,0.000768802,0.000768802,0.000768802
9,17896.1,1.17767,0.74711,1.11106,0.85647,0.71965,0.79227,0.46162,1.37573,0.76831,1.10404,0.000674488,0.000674488,0.000674488
